dataset,generator,n_r,n_s,method,alpha,runs,enumerate_all,fallback_sampling,fallback_sampling_no_pilot,other,enumerate_frac,fallback_frac,fallback_no_pilot_frac,other_frac,fallback_total_frac
stripe_alpha__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,100000,100000,range_tree,30,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
stripe_alpha__nr100000__ns100000__a1_000ep02__g1,stripe_ctrl_alpha,100000,100000,range_tree,100,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
stripe_alpha__nr100000__ns100000__a3_000ep02__g1,stripe_ctrl_alpha,100000,100000,range_tree,300,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,100000,100000,rejection,0,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,100000,100000,rejection,0.03,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,100000,100000,rejection,0.1,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,100000,100000,rejection,0.3,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,100000,100000,rejection,1,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,100000,100000,rejection,3,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,100000,100000,rejection,4,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,100000,100000,rejection,5,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a6_000ep00__g1,stripe_ctrl_alpha,100000,100000,rejection,6,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
stripe_alpha__nr100000__ns100000__a1_000ep01__g1,stripe_ctrl_alpha,100000,100000,rejection,10,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
stripe_alpha__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,100000,100000,rejection,30,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
stripe_alpha__nr100000__ns100000__a1_000ep02__g1,stripe_ctrl_alpha,100000,100000,rejection,100,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
stripe_alpha__nr100000__ns100000__a3_000ep02__g1,stripe_ctrl_alpha,100000,100000,rejection,300,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,100000,100000,sirs,0,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,100000,100000,sirs,0.03,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,100000,100000,sirs,0.1,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,100000,100000,sirs,0.3,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,100000,100000,sirs,1,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,100000,100000,sirs,3,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,100000,100000,sirs,4,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,100000,100000,sirs,5,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a6_000ep00__g1,stripe_ctrl_alpha,100000,100000,sirs,6,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
stripe_alpha__nr100000__ns100000__a1_000ep01__g1,stripe_ctrl_alpha,100000,100000,sirs,10,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
stripe_alpha__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,100000,100000,sirs,30,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
stripe_alpha__nr100000__ns100000__a1_000ep02__g1,stripe_ctrl_alpha,100000,100000,sirs,100,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
stripe_alpha__nr100000__ns100000__a3_000ep02__g1,stripe_ctrl_alpha,100000,100000,sirs,300,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,100000,100000,tlsop,0,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,100000,100000,tlsop,0.03,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,100000,100000,tlsop,0.1,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,100000,100000,tlsop,0.3,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,100000,100000,tlsop,1,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,100000,100000,tlsop,3,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,100000,100000,tlsop,4,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,100000,100000,tlsop,5,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a6_000ep00__g1,stripe_ctrl_alpha,100000,100000,tlsop,6,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
stripe_alpha__nr100000__ns100000__a1_000ep01__g1,stripe_ctrl_alpha,100000,100000,tlsop,10,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
stripe_alpha__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,100000,100000,tlsop,30,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
stripe_alpha__nr100000__ns100000__a1_000ep02__g1,stripe_ctrl_alpha,100000,100000,tlsop,100,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
stripe_alpha__nr100000__ns100000__a3_000ep02__g1,stripe_ctrl_alpha,100000,100000,tlsop,300,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
