dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
exp6_stripe__nr100000__ns100000__a3_000em01__g1,stripe,0.3,100000,100000,ours,sampling,1000,3,1,493.093,26.1117,505.739,510.001,60000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em01__g1,stripe,0.3,100000,100000,ours,enum_sampling,1000,3,1,448.303,27.2499,462.675,465.091,60000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em01__g1,stripe,0.3,100000,100000,ours,adaptive,1000,3,1,355.618,30.2238,371.993,373.907,60000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em01__g1,stripe,0.3,100000,100000,ours,sampling,3000,3,1,495.396,25.6298,510.077,510.286,60000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em01__g1,stripe,0.3,100000,100000,ours,enum_sampling,3000,3,1,448.828,28.4748,464.573,465.814,60000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em01__g1,stripe,0.3,100000,100000,ours,adaptive,3000,3,1,356.707,26.2846,370.005,373.317,60000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em01__g1,stripe,0.3,100000,100000,ours,sampling,10000,3,1,495.008,27.0712,509.775,511.313,60000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em01__g1,stripe,0.3,100000,100000,ours,enum_sampling,10000,3,1,447.786,28.6433,463.631,464.869,60000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em01__g1,stripe,0.3,100000,100000,ours,adaptive,10000,3,1,355.254,26.789,369.772,371.462,60000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em01__g1,stripe,0.3,100000,100000,ours,sampling,30000,3,1,495.104,25.7707,509.021,510.734,60000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em01__g1,stripe,0.3,100000,100000,ours,enum_sampling,30000,3,1,448.59,27.1427,463.451,464.897,60000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em01__g1,stripe,0.3,100000,100000,ours,adaptive,30000,3,1,355.919,30.5936,371.826,374.936,60000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em01__g1,stripe,0.3,100000,100000,ours,sampling,100000,3,1,497.139,25.9481,511.517,512.596,60000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em01__g1,stripe,0.3,100000,100000,ours,enum_sampling,100000,3,1,454.724,26.7536,468.619,471.365,60000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em01__g1,stripe,0.3,100000,100000,ours,adaptive,100000,3,1,354.271,30.483,371.071,372.5,60000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em01__g1,stripe,0.3,100000,100000,ours,sampling,300000,3,1,504.327,24.8221,518.41,518.856,60000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em01__g1,stripe,0.3,100000,100000,ours,enum_sampling,300000,3,1,475.011,27.9279,490.175,491.887,60000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em01__g1,stripe,0.3,100000,100000,ours,adaptive,300000,3,1,354.31,28.7557,370.081,371.565,60000,0,1,
