dataset,generator,alpha,n_r,n_s,method,variant,t,repeats_ok,build_ms,count_ms,enum_ms,sample_ms,run_total_ms_from_phases,wall_ms,build_pct,count_pct,enum_pct,sample_pct
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,kd_tree,sampling,100000,3,94.531662,180.298691,0.0,58.61014,333.395945,333.398,28.35417269397203,54.079449286643246,0.0,17.57973990955409
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,ours,sampling,100000,3,103.97255,219.617883,0.0,143.686184,466.971202,507.696,22.265302347274083,47.03028410732703,0.0,30.769816936163014
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,pbsm,sampling,100000,3,22.731979,2.801173,0.0,9.816621,35.349773,35.3511,64.30586980006915,7.924161210313854,0.0,27.769968989616988
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,r_tree,sampling,100000,3,35.598827,307.366993,0.0,253.173603,597.572265,597.889,5.957242175555119,51.435953608054405,0.0,42.36702702391986
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,range_tree,sampling,100000,3,90.259629,989.324548,0.0,721.757597,1801.7675749999999,1801.77,5.009504569422614,54.908555450055765,0.0,40.05830757610343
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,sirs,sampling,100000,3,118.29537,2755.31546,0.0,12.309851,2886.016133,2886.02,4.098915756130321,95.47124246792974,0.0,0.42653437932115673
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,tlsop,sampling,100000,3,390.95,526.641377,0.0,502.885039,1419.9421790000001,1420.73,27.53281124977413,37.08893114020243,0.0,35.415881465973406
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,tsunami,sampling,100000,3,86.052446,5377.522288,0.0,12.394449,5476.273078,5476.28,1.5713687899476951,98.19675190419713,0.0,0.22633000260327776
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,aabb,adaptive,100000,3,35.079619,0.0,680.387236,1.180376,716.6083120000001,716.622,4.895229152742509,0.0,94.94548480760574,0.1647170400111128
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,interval_tree,adaptive,100000,3,133.819199,0.0,545.097978,1.320113,680.410747,726.581,19.66741407157697,0.0,80.11307587415281,0.19401707069156568
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,kd_tree,adaptive,100000,3,95.78448,0.0,399.814832,1.127538,499.112731,499.129,19.190951071933288,0.0,80.10511597228724,0.22590848318793938
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,ours,adaptive,100000,3,101.746209,0.0,232.227135,1.155177,335.14302,379.096,30.359041641386415,0.0,69.29195034406506,0.34468180181702723
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,pbsm,adaptive,100000,3,22.737359,0.0,10.043757,0.49088,33.267706,33.2736,68.34663923024931,0.0,30.190711075780218,1.4755450826696617
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,r_tree,adaptive,100000,3,35.270585,0.0,402.857731,1.165687,439.28998399999995,439.645,8.02899822091095,0.0,91.70655960141355,0.2653570630920645
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,range_tree,adaptive,100000,3,89.699133,0.0,1220.613882,1.191676,1312.6794659999998,1312.7,6.833285301043935,0.0,92.98643832065552,0.09078194874421842
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,rejection,adaptive,100000,3,299.797761,0.0,1290.2038349999998,1.178136,1595.5258139999999,1605.3,18.789903514528785,0.0,80.86386466950637,0.07383998363814627
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,sirs,adaptive,100000,3,118.712737,0.0,3356.943089,1.170776,3477.328142,3477.34,3.4139066591432434,0.0,96.53800135955073,0.03366883860798432
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,tlsop,adaptive,100000,3,392.506722,0.0,536.729843,1.159007,928.8243010000001,928.838,42.25844668118776,0.0,57.78593889308672,0.12478215726614583
