dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,pbsm,adaptive,1000,3,1,1005,0.162072,1005.06,1005.13,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,tlsop,sampling,1000,3,1,302.061,2.09696,301.096,304.13,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,tlsop,adaptive,1000,3,1,325.15,1.86544,324.358,326.988,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,sirs,sampling,1000,3,1,1289.42,0.741082,1289.73,1289.93,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,sirs,adaptive,1000,3,1,1516.93,2.76613,1518.01,1518.9,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,rejection,sampling,1000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,rejection,adaptive,1000,3,1,2241.38,8.20155,2242.71,2248.21,7.92564e+06,238780,0,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,ours,sampling,3000,3,1,562.847,33.0061,576.348,585.9,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,ours,adaptive,3000,3,1,636.585,42.4992,659.44,662.433,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,aabb,sampling,3000,3,1,793.112,2.96121,794.022,795.362,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,aabb,adaptive,3000,3,1,979.144,3.47182,980.202,981.787,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,interval_tree,sampling,3000,3,1,1039.68,33.4831,1057.53,1060.17,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,interval_tree,adaptive,3000,3,1,1362.5,32.1323,1377.06,1384,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,kd_tree,sampling,3000,3,1,591.958,3.24104,590.176,595.147,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,kd_tree,adaptive,3000,3,1,1054.58,0.848166,1055.01,1055.12,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,r_tree,sampling,3000,3,1,350.578,2.76315,350.571,353.068,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,r_tree,adaptive,3000,3,1,493.46,3.23196,491.675,496.64,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,range_tree,sampling,3000,3,1,2215.03,4.61153,2216.54,2218.48,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,range_tree,adaptive,3000,3,1,2824.6,1.86244,2824.88,2826.16,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,pbsm,sampling,3000,3,1,919.461,7.37538,920.434,925.715,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,pbsm,adaptive,3000,3,1,1006.51,2.73017,1006.12,1009.09,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,tlsop,sampling,3000,3,1,303.057,3.25109,301.801,306.254,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,tlsop,adaptive,3000,3,1,324.516,0.540602,324.684,324.927,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,sirs,sampling,3000,3,1,1345.53,3.76838,1344.88,1349.11,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,sirs,adaptive,3000,3,1,1572.2,4.92431,1571.91,1576.73,8.06931e+06,0,1,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,rejection,sampling,3000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,rejection,adaptive,3000,3,1,2258.17,19.6337,2262.23,2274.13,7.92564e+06,238780,0,
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,ours,sampling,10000,3,1,560.156,39.0869,577.419,586.618,8.06931e+06,0,1,
