dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,sirs,sampling,100000,3,1,2863.08,1.04681,2862.88,2864.08,20000,0,1,
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,sirs,adaptive,100000,3,1,3477.52,0.634545,3477.72,3477.99,20000,0,1,
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,rejection,sampling,100000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,rejection,adaptive,100000,3,1,1591.99,10.8169,1590.42,1602.2,20000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,0.3,100000,100000,ours,sampling,100000,3,1,493.878,27.6704,509.623,510.037,60000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,0.3,100000,100000,ours,adaptive,100000,3,1,352.051,28.674,368.052,369.043,60000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,0.3,100000,100000,aabb,sampling,100000,3,1,697.703,0.341533,697.673,698.02,60000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,0.3,100000,100000,aabb,adaptive,100000,3,1,635.398,0.845588,635.011,636.232,60000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,0.3,100000,100000,interval_tree,sampling,100000,3,1,807.804,19.1105,818.227,819.316,60000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,0.3,100000,100000,interval_tree,adaptive,100000,3,1,708.44,10.5844,702.614,718.853,60000,0,1,
