dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,ours,sampling,30000,3,1,596.594,38.7056,618.293,619.453,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,ours,adaptive,30000,3,1,668.584,36.0692,688.324,690.259,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,aabb,sampling,30000,3,1,453.527,1.71378,452.563,455.212,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,aabb,adaptive,30000,3,1,597.653,1.53843,598.411,598.64,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,interval_tree,sampling,30000,3,1,1099.77,48.1556,1126.78,1128.2,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,interval_tree,adaptive,30000,3,1,1416.93,31.535,1432.98,1436.79,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,kd_tree,sampling,30000,3,1,528.231,2.21268,527.368,530.407,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,kd_tree,adaptive,30000,3,1,969.604,0.827126,969.302,970.416,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,r_tree,sampling,30000,3,1,316.25,1.67644,315.623,317.897,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,r_tree,adaptive,30000,3,1,441.595,2.1311,440.571,443.698,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,range_tree,sampling,30000,3,1,2181.82,0.722321,2181.87,2182.45,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,range_tree,adaptive,30000,3,1,2757.7,4.16499,2757,2761.65,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,pbsm,sampling,30000,3,1,513.051,1.93644,514.013,514.288,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,pbsm,adaptive,30000,3,1,554.785,2.07147,553.78,556.828,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,tlsop,sampling,30000,3,1,250.35,1.45323,249.539,251.779,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,tlsop,adaptive,30000,3,1,271.92,2.11379,271.194,273.99,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,sirs,sampling,30000,3,1,633.824,2.24325,634.838,635.327,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,sirs,adaptive,30000,3,1,732.799,2.13562,732.919,734.677,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,rejection,sampling,30000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
