dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,sirs,sampling,10000,3,1,828.144,0.444343,828.371,828.423,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,sirs,adaptive,10000,3,1,884.963,1.53277,885.336,886.18,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,rejection,sampling,10000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,rejection,adaptive,10000,3,1,220.864,5.13987,222.967,224.454,2.15307e+07,246788,0,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,ours,sampling,30000,3,1,573.107,40.3114,595.002,597.46,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,ours,adaptive,30000,3,1,612.51,34.7436,630.396,634.241,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,aabb,sampling,30000,3,1,830.419,2.81323,830.824,832.79,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,aabb,adaptive,30000,3,1,930.445,1.14288,929.886,931.573,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,interval_tree,sampling,30000,3,1,1030.01,43.1126,1054.74,1055.04,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,interval_tree,adaptive,30000,3,1,1236.71,26.9537,1252.16,1252.37,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,kd_tree,sampling,30000,3,1,598.587,3.12199,596.939,601.663,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,kd_tree,adaptive,30000,3,1,917.872,1.35621,917.842,919.102,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,r_tree,sampling,30000,3,1,468.484,2.24887,467.392,470.703,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,r_tree,adaptive,30000,3,1,571.62,3.83611,573.678,573.956,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,range_tree,sampling,30000,3,1,1954.55,1.62928,1953.67,1956.15,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,range_tree,adaptive,30000,3,1,2311.64,3.08343,2311.53,2314.46,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,pbsm,sampling,30000,3,1,1637.89,14.4539,1646.11,1646.33,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,pbsm,adaptive,30000,3,1,1703.1,2.13042,1703.54,1704.83,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,tlsop,sampling,30000,3,1,618.899,3.61654,620.675,621.224,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,tlsop,adaptive,30000,3,1,638.731,1.72141,639.721,639.727,2.16826e+07,0,1,
