run_id,regime,alpha,t,repeats,seed,gen_seed,N,method,variant,exit_code,rss_kb,enum_truncated_any,run_csv
20251228_165406,alpha100,100,100000,5,1,1,100000,kd_tree,adaptive,0,98916,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/kd_tree/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,r_tree,sampling,0,50132,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/r_tree/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,r_tree,enum_sampling,0,68448,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/r_tree/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,r_tree,adaptive,0,86084,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/r_tree/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,range_tree,sampling,0,86484,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/range_tree/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,range_tree,enum_sampling,0,89664,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/range_tree/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,range_tree,adaptive,0,164072,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/range_tree/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,pbsm,sampling,0,15100,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/pbsm/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,pbsm,enum_sampling,0,15032,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/pbsm/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,pbsm,adaptive,0,28580,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/pbsm/adaptive/run.csv
