dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,tsunami,adaptive,100000,3,1,5764.75,13.1236,5767.31,5775.49,600000,0,1,
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,ours,sampling,100000,3,1,498.883,27.6624,513.251,516.089,1e+06,0,1,
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,ours,adaptive,100000,3,1,367.668,30.2012,383.799,386.12,1e+06,0,1,
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,aabb,sampling,100000,3,1,1256.55,1.0242,1256.51,1257.48,1e+06,0,1,
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,aabb,adaptive,100000,3,1,1039.02,6.1832,1037.23,1045.04,1e+06,0,1,
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,interval_tree,sampling,100000,3,1,827.611,22.1156,833.561,844.884,1e+06,0,1,
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,interval_tree,adaptive,100000,3,1,726.534,6.89859,727.993,732.127,1e+06,0,1,
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,kd_tree,sampling,100000,3,1,395.504,1.90307,396.353,396.786,1e+06,0,1,
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,kd_tree,adaptive,100000,3,1,503.952,2.54011,502.711,506.457,1e+06,0,1,
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,r_tree,sampling,100000,3,1,640.561,1.78784,640.6,642.156,1e+06,0,1,
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,r_tree,adaptive,100000,3,1,446.231,1.86904,445.285,448.074,1e+06,0,1,
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,range_tree,sampling,100000,3,1,1927.2,2.33824,1925.92,1929.5,1e+06,0,1,
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,range_tree,adaptive,100000,3,1,1334.04,4.76083,1331.96,1338.74,1e+06,0,1,
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,pbsm,sampling,100000,3,1,58.5988,0.176448,58.5583,58.7686,1e+06,0,1,
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,pbsm,adaptive,100000,3,1,38.4457,0.110237,38.4059,38.5538,1e+06,0,1,
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,tlsop,sampling,100000,3,1,1477.1,3.16795,1475.99,1480.21,1e+06,0,1,
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,tlsop,adaptive,100000,3,1,935.305,3.24968,936.543,937.633,1e+06,0,1,
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,sirs,sampling,100000,3,1,2880.21,0.812134,2879.8,2881.01,1e+06,0,1,
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,sirs,adaptive,100000,3,1,3488.68,2.15523,3487.85,3490.8,1e+06,0,1,
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,rejection,sampling,100000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
